"education","variable","value"
189,"income",2824
169,"income",3259
230,"income",3072
168,"income",3835
180,"income",3549
193,"income",4256
261,"income",4151
214,"income",3954
201,"income",3419
172,"income",3509
194,"income",3412
189,"income",3981
233,"income",3675
209,"income",3363
262,"income",3341
234,"income",3265
177,"income",3257
177,"income",2730
187,"income",2876
148,"income",3239
196,"income",3303
248,"income",3795
247,"income",3742
246,"income",4425
180,"income",3068
149,"income",2470
155,"income",2664
149,"income",2380
156,"income",2781
191,"income",3191
140,"income",2645
137,"income",2579
112,"income",2337
130,"income",2081
134,"income",2322
162,"income",2634
135,"income",2880
155,"income",3029
238,"income",2942
170,"income",2668
238,"income",3190
192,"income",3340
227,"income",2651
207,"income",3027
201,"income",2790
225,"income",3957
215,"income",3688
233,"income",3317
273,"income",3968
372,"income",4146
212,"income",3513
189,"young",350.7
169,"young",345.9
230,"young",348.5
168,"young",335.3
180,"young",327.1
193,"young",341
261,"young",326.2
214,"young",333.5
201,"young",326.2
172,"young",354.5
194,"young",359.3
189,"young",348.9
233,"young",369.2
209,"young",360.7
262,"young",365.4
234,"young",343.8
177,"young",336.1
177,"young",369.1
187,"young",368.7
148,"young",349.9
196,"young",339.9
248,"young",375.9
247,"young",364.1
246,"young",352.1
180,"young",353
149,"young",328.8
155,"young",354.1
149,"young",376.7
156,"young",370.6
191,"young",336
140,"young",349.3
137,"young",342.8
112,"young",362.2
130,"young",385.2
134,"young",351.9
162,"young",389.6
135,"young",329.8
155,"young",369.4
238,"young",368.9
170,"young",367.7
238,"young",365.6
192,"young",358.1
227,"young",421.5
207,"young",387.5
201,"young",412.4
225,"young",385.1
215,"young",341.3
233,"young",332.7
273,"young",348.4
372,"young",439.7
212,"young",382.9
189,"urban",508
169,"urban",564
230,"urban",322
168,"urban",846
180,"urban",871
193,"urban",774
261,"urban",856
214,"urban",889
201,"urban",715
172,"urban",753
194,"urban",649
189,"urban",830
233,"urban",738
209,"urban",659
262,"urban",664
234,"urban",572
177,"urban",701
177,"urban",443
187,"urban",446
148,"urban",615
196,"urban",661
248,"urban",722
247,"urban",766
246,"urban",1000
180,"urban",631
149,"urban",390
155,"urban",450
149,"urban",476
156,"urban",603
191,"urban",805
140,"urban",523
137,"urban",588
112,"urban",584
130,"urban",445
134,"urban",500
162,"urban",661
135,"urban",680
155,"urban",797
238,"urban",534
170,"urban",541
238,"urban",605
192,"urban",785
227,"urban",698
207,"urban",796
201,"urban",804
225,"urban",809
215,"urban",726
233,"urban",671
273,"urban",909
372,"urban",484
212,"urban",831
