"variable","value"
"education",189
"education",169
"education",230
"education",168
"education",180
"education",193
"education",261
"education",214
"education",201
"education",172
"education",194
"education",189
"education",233
"education",209
"education",262
"education",234
"education",177
"education",177
"education",187
"education",148
"education",196
"education",248
"education",247
"education",246
"education",180
"education",149
"education",155
"education",149
"education",156
"education",191
"education",140
"education",137
"education",112
"education",130
"education",134
"education",162
"education",135
"education",155
"education",238
"education",170
"education",238
"education",192
"education",227
"education",207
"education",201
"education",225
"education",215
"education",233
"education",273
"education",372
"education",212
"income",2824
"income",3259
"income",3072
"income",3835
"income",3549
"income",4256
"income",4151
"income",3954
"income",3419
"income",3509
"income",3412
"income",3981
"income",3675
"income",3363
"income",3341
"income",3265
"income",3257
"income",2730
"income",2876
"income",3239
"income",3303
"income",3795
"income",3742
"income",4425
"income",3068
"income",2470
"income",2664
"income",2380
"income",2781
"income",3191
"income",2645
"income",2579
"income",2337
"income",2081
"income",2322
"income",2634
"income",2880
"income",3029
"income",2942
"income",2668
"income",3190
"income",3340
"income",2651
"income",3027
"income",2790
"income",3957
"income",3688
"income",3317
"income",3968
"income",4146
"income",3513
"young",350.7
"young",345.9
"young",348.5
"young",335.3
"young",327.1
"young",341
"young",326.2
"young",333.5
"young",326.2
"young",354.5
"young",359.3
"young",348.9
"young",369.2
"young",360.7
"young",365.4
"young",343.8
"young",336.1
"young",369.1
"young",368.7
"young",349.9
"young",339.9
"young",375.9
"young",364.1
"young",352.1
"young",353
"young",328.8
"young",354.1
"young",376.7
"young",370.6
"young",336
"young",349.3
"young",342.8
"young",362.2
"young",385.2
"young",351.9
"young",389.6
"young",329.8
"young",369.4
"young",368.9
"young",367.7
"young",365.6
"young",358.1
"young",421.5
"young",387.5
"young",412.4
"young",385.1
"young",341.3
"young",332.7
"young",348.4
"young",439.7
"young",382.9
"urban",508
"urban",564
"urban",322
"urban",846
"urban",871
"urban",774
"urban",856
"urban",889
"urban",715
"urban",753
"urban",649
"urban",830
"urban",738
"urban",659
"urban",664
"urban",572
"urban",701
"urban",443
"urban",446
"urban",615
"urban",661
"urban",722
"urban",766
"urban",1000
"urban",631
"urban",390
"urban",450
"urban",476
"urban",603
"urban",805
"urban",523
"urban",588
"urban",584
"urban",445
"urban",500
"urban",661
"urban",680
"urban",797
"urban",534
"urban",541
"urban",605
"urban",785
"urban",698
"urban",796
"urban",804
"urban",809
"urban",726
"urban",671
"urban",909
"urban",484
"urban",831
